Date,PX_LAST
#NAME?,566.1917
2011-08-08,532.25484
2011-08-05,576.2794
2011-08-04,589.32625
2011-08-03,622.24598
2011-08-02,635.15702
2011-08-01,650.47173
2011-07-29,650.12467
2011-07-28,652.24371
2011-07-27,656.39121
2011-07-26,670.49338
2011-07-25,676.70403
2011-07-22,687.45353
2011-07-21,679.65275
2011-07-20,678.02098
2011-07-19,670.42751
2011-07-18,660.84549
2011-07-15,671.95731
2011-07-14,671.15637
2011-07-13,679.66353
2011-07-12,675.09494
2011-07-11,687.6296
2011-07-08,700.79443
2011-07-07,708.21971
2011-07-06,705.3084
2011-07-05,712.25209
2011-07-04,717.03765
2011-07-01,714.58618
2011-06-30,712.2102
2011-06-29,704.95354
2011-06-28,697.14525
2011-06-27,692.06528
2011-06-24,693.8704
2011-06-23,699.91768
2011-06-22,699.06764
2011-06-21,696.71204
2011-06-20,690.49322
2011-06-17,698.67357
2011-06-16,702.32225
2011-06-15,705.97606
2011-06-14,714.66418
2011-06-13,701.06879
2011-06-10,698.83478
2011-06-09,700.0351
2011-06-08,697.10031
2011-06-07,713.85585
2011-06-06,710.9724
2011-06-03,717.13944
2011-06-02,721.62911
2011-06-01,725.26747
2011-05-31,745.60242
2011-05-30,732.96981
2011-05-27,720.74097
2011-05-26,722.27742
2011-05-25,724.37079
2011-05-24,730.63454
2011-05-23,737.40403
2011-05-20,747.38852
2011-05-19,753.482
2011-05-18,758.06732
2011-05-17,757.37262
2011-05-16,764.36127
2011-05-13,774.09577
2011-05-12,777.09247
2011-05-11,775.59252
2011-05-10,774.29159
2011-05-09,768.11613
2011-05-06,768.45646
2011-05-05,754.90464
2011-05-04,750.3017
2011-05-03,768.054
2011-05-02,779.32096
2011-04-29,790.38851
2011-04-28,768.48608
2011-04-27,766.79741
2011-04-26,771.62703
2011-04-25,768.96528
2011-04-22,770.82108
2011-04-21,769.92176
2011-04-20,770.83816
2011-04-19,769.56968
2011-04-18,770.5099
2011-04-15,783.87577
2011-04-14,791.85088
2011-04-13,804.74671
2011-04-12,794.33207
2011-04-11,807.39404
2011-04-08,813.6167
2011-04-07,817.58864
2011-04-06,830.4231
2011-04-05,840.82121
2011-04-04,845.94401
2011-04-01,843.57394
2011-03-31,845.08457
2011-03-30,845.63995
2011-03-29,839.53696
2011-03-28,835.08761
2011-03-25,816.31269
2011-03-24,808.41909
2011-03-23,803.73053
2011-03-22,789.49852
2011-03-21,794.71457
2011-03-18,789.27568
2011-03-17,803.35261
2011-03-16,796.07631
2011-03-15,810.37848
2011-03-14,773.83202
2011-03-11,746.14426
2011-03-10,758.22431
2011-03-09,776.13597
2011-03-08,768.6159
2011-03-07,765.20266
2011-03-04,773.44423
2011-03-03,779.36854
2011-03-02,782.21926
2011-03-01,788.59399
2011-02-28,794.59687
2011-02-25,806.65116
2011-02-24,805.78928
2011-02-23,797.33227
2011-02-22,814.18729
2011-02-21,827.82628
2011-02-18,835.66789
2011-02-17,830.6856
2011-02-16,825.82374
2011-02-15,814.96819
2011-02-14,817.19472
2011-02-11,804.6535
2011-02-10,789.36885
2011-02-09,791.47567
2011-02-08,796.21076
2011-02-07,807.78131
2011-02-04,796.71649
2011-02-03,798.93985
2011-02-02,800.93342
2011-02-01,777.90639
2011-01-31,770.59356
2011-01-28,766.18159
2011-01-27,778.35644
2011-01-26,779.16173
2011-01-25,788.52368
2011-01-24,804.37766
2011-01-21,789.813
2011-01-20,793.18509
2011-01-19,797.89911
2011-01-18,811.09955
2011-01-17,788.173
2011-01-14,786.34777
2011-01-13,791.63534
2011-01-12,805.78996
2011-01-11,792.37335
2011-01-10,784.12333
2011-01-07,779.58453
2011-01-06,779.20018
2011-01-05,775.11416
2011-01-04,770.5513
2011-01-03,769.63888
2010-12-31,758.32485
2010-12-30,760.30159
2010-12-29,763.83577
2010-12-28,759.36048
2010-12-27,762.56568
2010-12-24,767.92772
2010-12-23,767.11987
2010-12-22,771.53817
2010-12-21,771.02591
2010-12-20,759.92669
2010-12-17,762.47492
2010-12-16,759.09544
2010-12-15,758.79548
2010-12-14,759.46018
2010-12-13,760.05231
2010-12-10,766.38192
2010-12-09,757.41718
2010-12-08,753.07494
2010-12-07,750.14074
2010-12-06,752.30578
2010-12-03,745.34662
2010-12-02,741.86565
2010-12-01,730.92414
2010-11-30,724.12624
2010-11-29,730.48382
2010-11-26,740.86425
2010-11-25,741.76067
2010-11-24,742.54431
2010-11-23,735.73008
2010-11-22,737.75832
